ImageId,Label
1,0
2,0
3,9
4,7
5,6
6,7
7,0
8,8
9,0
10,8
11,8
12,9
13,8
14,0
15,9
16,0
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,8
25,9
26,9
27,2
28,9
29,9
30,9
31,7
32,8
33,9
34,8
35,6
36,2
37,9
38,8
39,1
40,6
41,9
42,7
43,6
44,9
45,8
46,7
47,1
48,8
49,6
50,9
51,6
52,8
53,1
54,3
55,8
56,2
57,1
58,8
59,2
60,0
61,9
62,1
63,9
64,6
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,8
73,8
74,8
75,8
76,8
77,8
78,9
79,6
80,3
81,8
82,9
83,1
84,0
85,9
86,6
87,8
88,3
89,6
90,9
91,3
92,0
93,6
94,6
95,8
96,9
97,3
98,9
99,7
100,9
101,0
102,9
103,1
104,0
105,9
106,1
107,0
108,8
109,0
110,9
111,6
112,0
113,9
114,1
115,1
116,7
117,1
118,1
119,8
120,8
121,3
122,9
123,3
124,1
125,6
126,3
127,8
128,9
129,8
130,9
131,3
132,8
133,6
134,0
135,0
136,0
137,3
138,1
139,0
140,6
141,0
142,6
143,6
144,8
145,8
146,8
147,9
148,7
149,6
150,1
151,5
152,3
153,8
154,6
155,8
156,1
157,7
158,9
159,7
160,8
161,3
162,0
163,4
164,0
165,1
166,1
167,9
168,6
169,3
170,0
171,6
172,9
173,9
174,6
175,1
176,6
177,9
178,6
179,1
180,8
181,8
182,1
183,8
184,6
185,4
186,9
187,6
188,1
189,6
190,0
191,6
192,1
193,6
194,9
195,6
196,0
197,9
198,9
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,8
209,6
210,6
211,0
212,9
213,8
214,6
215,9
216,8
217,1
218,6
219,3
220,9
221,2
222,3
223,1
224,0
225,8
226,8
227,9
228,6
229,1
230,0
231,0
232,6
233,9
234,1
235,9
236,8
237,6
238,8
239,1
240,6
241,8
242,6
243,2
244,8
245,8
246,8
247,9
248,8
249,1
250,9
251,9
252,9
253,1
254,9
255,8
256,9
257,1
258,1
259,9
260,6
261,6
262,3
263,8
264,8
265,7
266,0
267,6
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,9
277,1
278,9
279,8
